data,capital,estado,regiao,custo,fonte_dado
2020-01-01,Aracaju,SE,Nordeste,368.69,real_dieese
2020-02-01,Aracaju,SE,Nordeste,371.22,real_dieese
2020-03-01,Aracaju,SE,Nordeste,390.2,real_dieese
2020-04-01,Aracaju,SE,Nordeste,401.37,real_dieese
2020-05-01,Aracaju,SE,Nordeste,400.15,real_dieese
2020-06-01,Aracaju,SE,Nordeste,420.03,real_dieese
2020-07-01,Aracaju,SE,Nordeste,392.75,real_dieese
2020-08-01,Aracaju,SE,Nordeste,398.47,real_dieese
2020-09-01,Aracaju,SE,Nordeste,427.11,real_dieese
2020-10-01,Aracaju,SE,Nordeste,442.26,real_dieese
2020-11-01,Aracaju,SE,Nordeste,451.32,real_dieese
2020-12-01,Aracaju,SE,Nordeste,453.16,real_dieese
2021-01-01,Aracaju,SE,Nordeste,450.84,real_dieese
2021-02-01,Aracaju,SE,Nordeste,445.9,real_dieese
2021-03-01,Aracaju,SE,Nordeste,468.79,real_dieese
2021-04-01,Aracaju,SE,Nordeste,469.66,real_dieese
2021-05-01,Aracaju,SE,Nordeste,468.43,real_dieese
2021-06-01,Aracaju,SE,Nordeste,470.97,real_dieese
2021-07-01,Aracaju,SE,Nordeste,488.42,real_dieese
2021-08-01,Aracaju,SE,Nordeste,456.4,real_dieese
2021-09-01,Aracaju,SE,Nordeste,454.03,real_dieese
2021-10-01,Aracaju,SE,Nordeste,464.17,real_dieese
2021-11-01,Aracaju,SE,Nordeste,473.26,real_dieese
2021-12-01,Aracaju,SE,Nordeste,478.05,real_dieese
2022-01-01,Aracaju,SE,Nordeste,507.82,real_dieese
2022-02-01,Aracaju,SE,Nordeste,516.82,real_dieese
2022-03-01,Aracaju,SE,Nordeste,524.99,real_dieese
2022-04-01,Aracaju,SE,Nordeste,551.47,real_dieese
2022-05-01,Aracaju,SE,Nordeste,548.38,real_dieese
2022-06-01,Aracaju,SE,Nordeste,549.91,real_dieese
2022-07-01,Aracaju,SE,Nordeste,542.5,real_dieese
2022-08-01,Aracaju,SE,Nordeste,539.57,real_dieese
2022-09-01,Aracaju,SE,Nordeste,518.68,real_dieese
2022-10-01,Aracaju,SE,Nordeste,515.51,real_dieese
2022-11-01,Aracaju,SE,Nordeste,511.97,real_dieese
2022-12-01,Aracaju,SE,Nordeste,521.05,real_dieese
2023-01-01,Aracaju,SE,Nordeste,555.28,real_dieese
2023-02-01,Aracaju,SE,Nordeste,552.97,real_dieese
2023-03-01,Aracaju,SE,Nordeste,546.14,real_dieese
2023-04-01,Aracaju,SE,Nordeste,553.89,real_dieese
2023-05-01,Aracaju,SE,Nordeste,553.76,real_dieese
2023-06-01,Aracaju,SE,Nordeste,567.11,real_dieese
2023-07-01,Aracaju,SE,Nordeste,547.22,real_dieese
2023-08-01,Aracaju,SE,Nordeste,542.67,real_dieese
2023-09-01,Aracaju,SE,Nordeste,532.34,real_dieese
2023-10-01,Aracaju,SE,Nordeste,521.96,real_dieese
2023-11-01,Aracaju,SE,Nordeste,516.76,real_dieese
2023-12-01,Aracaju,SE,Nordeste,517.26,real_dieese
2024-01-01,Aracaju,SE,Nordeste,528.48,real_dieese
2024-02-01,Aracaju,SE,Nordeste,534.4,real_dieese
2024-03-01,Aracaju,SE,Nordeste,555.22,real_dieese
2024-04-01,Aracaju,SE,Nordeste,582.11,real_dieese
2024-05-01,Aracaju,SE,Nordeste,579.55,real_dieese
2024-06-01,Aracaju,SE,Nordeste,561.96,real_dieese
2024-07-01,Aracaju,SE,Nordeste,524.28,real_dieese
2024-08-01,Aracaju,SE,Nordeste,516.4,real_dieese
2024-09-01,Aracaju,SE,Nordeste,506.19,real_dieese
2024-10-01,Aracaju,SE,Nordeste,519.31,real_dieese
2024-11-01,Aracaju,SE,Nordeste,533.26,real_dieese
2024-12-01,Aracaju,SE,Nordeste,554.08,real_dieese
2025-01-01,Aracaju,SE,Nordeste,571.43,real_dieese
2025-02-01,Aracaju,SE,Nordeste,580.45,real_dieese
2025-03-01,Aracaju,SE,Nordeste,569.48,real_dieese
2025-04-01,Aracaju,SE,Nordeste,579.93,real_dieese
2025-05-01,Aracaju,SE,Nordeste,579.54,real_dieese
2025-06-01,Aracaju,SE,Nordeste,557.28,real_dieese
2025-07-01,Aracaju,SE,Nordeste,568.52,real_dieese
2025-08-01,Aracaju,SE,Nordeste,558.16,real_dieese
2025-09-01,Aracaju,SE,Nordeste,552.65,real_dieese
2025-10-01,Aracaju,SE,Nordeste,550.18,real_dieese
2025-11-01,Aracaju,SE,Nordeste,538.1,real_dieese
2025-12-01,Aracaju,SE,Nordeste,539.49,real_dieese
2026-01-01,Aracaju,SE,Nordeste,552.65,real_dieese
2026-02-01,Aracaju,SE,Nordeste,562.88,real_dieese
2026-03-01,Aracaju,SE,Nordeste,598.45,real_dieese
2020-01-01,Belo Horizonte,MG,Sudeste,456.35,real_dieese
2020-02-01,Belo Horizonte,MG,Sudeste,459.1,real_dieese
2020-03-01,Belo Horizonte,MG,Sudeste,461.28,real_dieese
2020-04-01,Belo Horizonte,MG,Sudeste,484.55,real_dieese
2020-05-01,Belo Horizonte,MG,Sudeste,484.02,real_dieese
2020-06-01,Belo Horizonte,MG,Sudeste,475.19,real_dieese
2020-07-01,Belo Horizonte,MG,Sudeste,465.06,real_dieese
2020-08-01,Belo Horizonte,MG,Sudeste,478.07,real_dieese
2020-09-01,Belo Horizonte,MG,Sudeste,491.62,real_dieese
2020-10-01,Belo Horizonte,MG,Sudeste,516.82,real_dieese
2020-11-01,Belo Horizonte,MG,Sudeste,552.37,real_dieese
2020-12-01,Belo Horizonte,MG,Sudeste,568.53,real_dieese
2021-01-01,Belo Horizonte,MG,Sudeste,592.26,real_dieese
2021-02-01,Belo Horizonte,MG,Sudeste,573.53,real_dieese
2021-03-01,Belo Horizonte,MG,Sudeste,555.67,real_dieese
2021-04-01,Belo Horizonte,MG,Sudeste,565.78,real_dieese
2021-06-01,Belo Horizonte,MG,Sudeste,536.88,real_dieese
2021-07-01,Belo Horizonte,MG,Sudeste,555.12,real_dieese
2021-08-01,Belo Horizonte,MG,Sudeste,570.07,real_dieese
2021-09-01,Belo Horizonte,MG,Sudeste,589.74,real_dieese
2021-10-01,Belo Horizonte,MG,Sudeste,605.02,real_dieese
2021-11-01,Belo Horizonte,MG,Sudeste,601.42,real_dieese
2021-12-01,Belo Horizonte,MG,Sudeste,613.94,real_dieese
2022-01-01,Belo Horizonte,MG,Sudeste,641.83,real_dieese
2022-02-01,Belo Horizonte,MG,Sudeste,650.63,real_dieese
2022-03-01,Belo Horizonte,MG,Sudeste,678.02,real_dieese
2022-04-01,Belo Horizonte,MG,Sudeste,700.54,real_dieese
2022-05-01,Belo Horizonte,MG,Sudeste,659.72,real_dieese
2022-06-01,Belo Horizonte,MG,Sudeste,656.72,real_dieese
2022-07-01,Belo Horizonte,MG,Sudeste,661.67,real_dieese
2022-08-01,Belo Horizonte,MG,Sudeste,648.01,real_dieese
2022-09-01,Belo Horizonte,MG,Sudeste,662.24,real_dieese
2022-10-01,Belo Horizonte,MG,Sudeste,674.82,real_dieese
2022-11-01,Belo Horizonte,MG,Sudeste,705.52,real_dieese
2022-12-01,Belo Horizonte,MG,Sudeste,706.52,real_dieese
2023-01-01,Belo Horizonte,MG,Sudeste,717.53,real_dieese
2023-02-01,Belo Horizonte,MG,Sudeste,689.09,real_dieese
2023-03-01,Belo Horizonte,MG,Sudeste,662.9,real_dieese
2023-04-01,Belo Horizonte,MG,Sudeste,677.51,real_dieese
2023-05-01,Belo Horizonte,MG,Sudeste,675.3,real_dieese
2023-06-01,Belo Horizonte,MG,Sudeste,664.42,real_dieese
2023-07-01,Belo Horizonte,MG,Sudeste,662.38,real_dieese
2023-08-01,Belo Horizonte,MG,Sudeste,657.57,real_dieese
2023-09-01,Belo Horizonte,MG,Sudeste,645.33,real_dieese
2023-10-01,Belo Horizonte,MG,Sudeste,637.4,real_dieese
2023-11-01,Belo Horizonte,MG,Sudeste,650.33,real_dieese
2023-12-01,Belo Horizonte,MG,Sudeste,667.39,real_dieese
2024-01-01,Belo Horizonte,MG,Sudeste,736.36,real_dieese
2024-02-01,Belo Horizonte,MG,Sudeste,741.71,real_dieese
2024-03-01,Belo Horizonte,MG,Sudeste,724.96,real_dieese
2024-04-01,Belo Horizonte,MG,Sudeste,724.1,real_dieese
2024-05-01,Belo Horizonte,MG,Sudeste,701.79,real_dieese
2024-06-01,Belo Horizonte,MG,Sudeste,710.77,real_dieese
2024-07-01,Belo Horizonte,MG,Sudeste,666.52,real_dieese
2024-08-01,Belo Horizonte,MG,Sudeste,667.63,real_dieese
2024-09-01,Belo Horizonte,MG,Sudeste,663.22,real_dieese
2024-10-01,Belo Horizonte,MG,Sudeste,690.15,real_dieese
2024-11-01,Belo Horizonte,MG,Sudeste,698.83,real_dieese
2024-12-01,Belo Horizonte,MG,Sudeste,706.32,real_dieese
2025-01-01,Belo Horizonte,MG,Sudeste,729.06,real_dieese
2025-02-01,Belo Horizonte,MG,Sudeste,735.31,real_dieese
2025-03-01,Belo Horizonte,MG,Sudeste,754.07,real_dieese
2025-04-01,Belo Horizonte,MG,Sudeste,762.35,real_dieese
2025-05-01,Belo Horizonte,MG,Sudeste,742.53,real_dieese
2025-06-01,Belo Horizonte,MG,Sudeste,734.73,real_dieese
2025-07-01,Belo Horizonte,MG,Sudeste,728.69,real_dieese
2025-08-01,Belo Horizonte,MG,Sudeste,725.9,real_dieese
2025-09-01,Belo Horizonte,MG,Sudeste,718.74,real_dieese
2025-10-01,Belo Horizonte,MG,Sudeste,716.53,real_dieese
2025-11-01,Belo Horizonte,MG,Sudeste,712.01,real_dieese
2025-12-01,Belo Horizonte,MG,Sudeste,723.26,real_dieese
2026-01-01,Belo Horizonte,MG,Sudeste,737.86,real_dieese
2026-02-01,Belo Horizonte,MG,Sudeste,736.86,real_dieese
2026-03-01,Belo Horizonte,MG,Sudeste,784.32,real_dieese
2020-01-01,Belém,PA,Norte,415.56,real_dieese
2020-02-01,Belém,PA,Norte,432.95,real_dieese
2020-03-01,Belém,PA,Norte,418.8,real_dieese
2020-04-01,Belém,PA,Norte,434.19,real_dieese
2020-05-01,Belém,PA,Norte,453.36,real_dieese
2020-06-01,Belém,PA,Norte,453.87,real_dieese
2020-07-01,Belém,PA,Norte,440.99,real_dieese
2020-08-01,Belém,PA,Norte,441.51,real_dieese
2020-09-01,Belém,PA,Norte,459.21,real_dieese
2020-10-01,Belém,PA,Norte,468.22,real_dieese
2020-11-01,Belém,PA,Norte,486.5,real_dieese
2020-12-01,Belém,PA,Norte,500.89,real_dieese
2021-01-01,Belém,PA,Norte,507.31,real_dieese
2021-02-01,Belém,PA,Norte,512.95,real_dieese
