data,capital,estado,regiao,custo
2020-01-01,Aracaju,SE,Nordeste,561.22
2020-02-01,Aracaju,SE,Nordeste,557.43
2020-03-01,Aracaju,SE,Nordeste,547.91
2020-04-01,Aracaju,SE,Nordeste,550.24
2020-05-01,Aracaju,SE,Nordeste,543.08
2020-06-01,Aracaju,SE,Nordeste,542.72
2020-07-01,Aracaju,SE,Nordeste,555.58
2020-08-01,Aracaju,SE,Nordeste,607.72
2020-09-01,Aracaju,SE,Nordeste,624.84
2020-10-01,Aracaju,SE,Nordeste,611.25
2020-11-01,Aracaju,SE,Nordeste,621.78
2020-12-01,Aracaju,SE,Nordeste,618.87
2021-01-01,Aracaju,SE,Nordeste,597.96
2021-02-01,Aracaju,SE,Nordeste,599.81
2021-03-01,Aracaju,SE,Nordeste,590.75
2021-04-01,Aracaju,SE,Nordeste,561.09
2021-05-01,Aracaju,SE,Nordeste,578.96
2021-06-01,Aracaju,SE,Nordeste,594.57
2021-07-01,Aracaju,SE,Nordeste,593.95
2021-08-01,Aracaju,SE,Nordeste,598.41
2021-09-01,Aracaju,SE,Nordeste,596.21
2021-10-01,Aracaju,SE,Nordeste,592.22
2021-11-01,Aracaju,SE,Nordeste,587.04
2021-12-01,Aracaju,SE,Nordeste,597.91
2022-01-01,Aracaju,SE,Nordeste,639.07
2022-02-01,Aracaju,SE,Nordeste,616.29
2022-03-01,Aracaju,SE,Nordeste,594.82
2022-04-01,Aracaju,SE,Nordeste,609.66
2022-05-01,Aracaju,SE,Nordeste,613.11
2022-06-01,Aracaju,SE,Nordeste,628.31
2022-07-01,Aracaju,SE,Nordeste,624.3
2022-08-01,Aracaju,SE,Nordeste,629.84
2022-09-01,Aracaju,SE,Nordeste,640.34
2022-10-01,Aracaju,SE,Nordeste,622.21
2022-11-01,Aracaju,SE,Nordeste,623.19
2022-12-01,Aracaju,SE,Nordeste,624.56
2023-01-01,Aracaju,SE,Nordeste,646.5
2023-02-01,Aracaju,SE,Nordeste,662.74
2023-03-01,Aracaju,SE,Nordeste,645.34
2023-04-01,Aracaju,SE,Nordeste,637.99
2023-05-01,Aracaju,SE,Nordeste,622.11
2023-06-01,Aracaju,SE,Nordeste,643.46
