data,capital,custo
2020-01-01,Aracaju,368.69
2020-02-01,Aracaju,371.22
2020-03-01,Aracaju,390.2
2020-04-01,Aracaju,401.37
2020-05-01,Aracaju,400.15
2020-06-01,Aracaju,420.03
2020-07-01,Aracaju,392.75
2020-08-01,Aracaju,398.47
2020-09-01,Aracaju,427.11
2020-10-01,Aracaju,442.26
2020-11-01,Aracaju,451.32
2020-12-01,Aracaju,453.16
2021-01-01,Aracaju,450.84
2021-02-01,Aracaju,445.9
2021-03-01,Aracaju,468.79
2021-04-01,Aracaju,469.66
2021-05-01,Aracaju,468.43
2021-06-01,Aracaju,470.97
2021-07-01,Aracaju,488.42
2021-08-01,Aracaju,456.4
2021-09-01,Aracaju,454.03
2021-10-01,Aracaju,464.17
2021-11-01,Aracaju,473.26
2021-12-01,Aracaju,478.05
2022-01-01,Aracaju,507.82
2022-02-01,Aracaju,516.82
2022-03-01,Aracaju,524.99
2022-04-01,Aracaju,551.47
2022-05-01,Aracaju,548.38
2022-06-01,Aracaju,549.91
2022-07-01,Aracaju,542.5
2022-08-01,Aracaju,539.57
2022-09-01,Aracaju,518.68
2022-10-01,Aracaju,515.51
2022-11-01,Aracaju,511.97
2022-12-01,Aracaju,521.05
2023-01-01,Aracaju,555.28
2023-02-01,Aracaju,552.97
2023-03-01,Aracaju,546.14
2023-04-01,Aracaju,553.89
2023-05-01,Aracaju,553.76
2023-06-01,Aracaju,567.11
2023-07-01,Aracaju,547.22
2023-08-01,Aracaju,542.67
2023-09-01,Aracaju,532.34
2023-10-01,Aracaju,521.96
2023-11-01,Aracaju,516.76
2023-12-01,Aracaju,517.26
2024-01-01,Aracaju,528.48
2024-02-01,Aracaju,534.4
2024-03-01,Aracaju,555.22
2024-04-01,Aracaju,582.11
2024-05-01,Aracaju,579.55
2024-06-01,Aracaju,561.96
2024-07-01,Aracaju,524.28
2024-08-01,Aracaju,516.4
2024-09-01,Aracaju,506.19
2024-10-01,Aracaju,519.31
2024-11-01,Aracaju,533.26
2024-12-01,Aracaju,554.08
2025-01-01,Aracaju,571.43
2025-02-01,Aracaju,580.45
2025-03-01,Aracaju,569.48
2025-04-01,Aracaju,579.93
2025-05-01,Aracaju,579.54
2025-06-01,Aracaju,557.28
2025-07-01,Aracaju,568.52
2025-08-01,Aracaju,558.16
2025-09-01,Aracaju,552.65
2025-10-01,Aracaju,550.18
2025-11-01,Aracaju,538.1
2025-12-01,Aracaju,539.49
2026-01-01,Aracaju,552.65
2026-02-01,Aracaju,562.88
2026-03-01,Aracaju,598.45
2020-01-01,Belo Horizonte,456.35
2020-02-01,Belo Horizonte,459.1
2020-03-01,Belo Horizonte,461.28
2020-04-01,Belo Horizonte,484.55
2020-05-01,Belo Horizonte,484.02
2020-06-01,Belo Horizonte,475.19
2020-07-01,Belo Horizonte,465.06
2020-08-01,Belo Horizonte,478.07
2020-09-01,Belo Horizonte,491.62
2020-10-01,Belo Horizonte,516.82
2020-11-01,Belo Horizonte,552.37
2020-12-01,Belo Horizonte,568.53
2021-01-01,Belo Horizonte,592.26
2021-02-01,Belo Horizonte,573.53
2021-03-01,Belo Horizonte,555.67
2021-04-01,Belo Horizonte,565.78
2021-06-01,Belo Horizonte,536.88
2021-07-01,Belo Horizonte,555.12
2021-08-01,Belo Horizonte,570.07
2021-09-01,Belo Horizonte,589.74
2021-10-01,Belo Horizonte,605.02
2021-11-01,Belo Horizonte,601.42
2021-12-01,Belo Horizonte,613.94
2022-01-01,Belo Horizonte,641.83
2022-02-01,Belo Horizonte,650.63
2022-03-01,Belo Horizonte,678.02
2022-04-01,Belo Horizonte,700.54
2022-05-01,Belo Horizonte,659.72
2022-06-01,Belo Horizonte,656.72
2022-07-01,Belo Horizonte,661.67
2022-08-01,Belo Horizonte,648.01
2022-09-01,Belo Horizonte,662.24
2022-10-01,Belo Horizonte,674.82
2022-11-01,Belo Horizonte,705.52
2022-12-01,Belo Horizonte,706.52
2023-01-01,Belo Horizonte,717.53
2023-02-01,Belo Horizonte,689.09
2023-03-01,Belo Horizonte,662.9
2023-04-01,Belo Horizonte,677.51
2023-05-01,Belo Horizonte,675.3
2023-06-01,Belo Horizonte,664.42
2023-07-01,Belo Horizonte,662.38
2023-08-01,Belo Horizonte,657.57
2023-09-01,Belo Horizonte,645.33
2023-10-01,Belo Horizonte,637.4
2023-11-01,Belo Horizonte,650.33
2023-12-01,Belo Horizonte,667.39
2024-01-01,Belo Horizonte,736.36
2024-02-01,Belo Horizonte,741.71
2024-03-01,Belo Horizonte,724.96
2024-04-01,Belo Horizonte,724.1
2024-05-01,Belo Horizonte,701.79
2024-06-01,Belo Horizonte,710.77
2024-07-01,Belo Horizonte,666.52
2024-08-01,Belo Horizonte,667.63
2024-09-01,Belo Horizonte,663.22
2024-10-01,Belo Horizonte,690.15
2024-11-01,Belo Horizonte,698.83
2024-12-01,Belo Horizonte,706.32
2025-01-01,Belo Horizonte,729.06
2025-02-01,Belo Horizonte,735.31
2025-03-01,Belo Horizonte,754.07
2025-04-01,Belo Horizonte,762.35
2025-05-01,Belo Horizonte,742.53
2025-06-01,Belo Horizonte,734.73
2025-07-01,Belo Horizonte,728.69
2025-08-01,Belo Horizonte,725.9
2025-09-01,Belo Horizonte,718.74
2025-10-01,Belo Horizonte,716.53
2025-11-01,Belo Horizonte,712.01
2025-12-01,Belo Horizonte,723.26
2026-01-01,Belo Horizonte,737.86
2026-02-01,Belo Horizonte,736.86
2026-03-01,Belo Horizonte,784.32
2020-01-01,Belém,415.56
2020-02-01,Belém,432.95
2020-03-01,Belém,418.8
2020-04-01,Belém,434.19
2020-05-01,Belém,453.36
2020-06-01,Belém,453.87
2020-07-01,Belém,440.99
2020-08-01,Belém,441.51
2020-09-01,Belém,459.21
2020-10-01,Belém,468.22
2020-11-01,Belém,486.5
2020-12-01,Belém,500.89
2021-01-01,Belém,507.31
2021-02-01,Belém,512.95
2021-03-01,Belém,515.77
2021-04-01,Belém,505.87
2021-05-01,Belém,515.84
2021-06-01,Belém,518.53
2021-07-01,Belém,522.66
2021-08-01,Belém,530.13
2021-09-01,Belém,532.56
2021-10-01,Belém,538.44
2021-11-01,Belém,550.64
2021-12-01,Belém,556.87
2022-01-01,Belém,563.97
2022-02-01,Belém,574.86
2022-03-01,Belém,585.91
2022-04-01,Belém,610.31
2022-05-01,Belém,628.58
2022-06-01,Belém,632.26
2022-07-01,Belém,633.14
2022-08-01,Belém,634.85
2022-09-01,Belém,622.46
2022-10-01,Belém,615.22
2022-11-01,Belém,624.29
2022-12-01,Belém,639.44
2023-01-01,Belém,654.81
2023-02-01,Belém,662.98
2023-03-01,Belém,664.54
2023-04-01,Belém,660.77
2023-05-01,Belém,669.8
2023-06-01,Belém,659.89
2023-07-01,Belém,650.42
2023-08-01,Belém,640.11
2023-09-01,Belém,633.53
2023-10-01,Belém,632.92
2023-11-01,Belém,635.18
2023-12-01,Belém,645.44
2024-01-01,Belém,656.78
2024-02-01,Belém,665.12
2024-03-01,Belém,667.53
2024-04-01,Belém,681.45
2024-05-01,Belém,690.98
2024-06-01,Belém,695.58
2024-07-01,Belém,682.39
2024-08-01,Belém,664.92
2024-09-01,Belém,647.79
2024-10-01,Belém,649.9
2024-11-01,Belém,663.02
2024-12-01,Belém,665.83
2025-01-01,Belém,697.81
2025-02-01,Belém,700.06
2025-03-01,Belém,704.9
2025-04-01,Belém,726.21
2025-05-01,Belém,726.38
2025-06-01,Belém,709.04
2025-07-01,Belém,696.23
2025-08-01,Belém,687.3
2025-09-01,Belém,672.84
2025-10-01,Belém,664.31
2025-11-01,Belém,666.15
2025-12-01,Belém,666.57
2026-01-01,Belém,673.55
2026-02-01,Belém,674.12
2026-03-01,Belém,700.68
2025-04-01,Boa Vista,719.12
2025-05-01,Boa Vista,723.5
2025-06-01,Boa Vista,717.24
2025-07-01,Boa Vista,712.83
2025-08-01,Boa Vista,693.84
2025-09-01,Boa Vista,681.95
2025-10-01,Boa Vista,678.95
2025-11-01,Boa Vista,669.19
2025-12-01,Boa Vista,652.14
2026-01-01,Boa Vista,655.79
2026-02-01,Boa Vista,659.19
2026-03-01,Boa Vista,680.01
2020-01-01,Brasília,483.17
2020-02-01,Brasília,481.78
2020-03-01,Brasília,484.15
2020-04-01,Brasília,471.17
2020-05-01,Brasília,441.09
2020-06-01,Brasília,450.45
2020-07-01,Brasília,449.96
2020-08-01,Brasília,443.28
2020-09-01,Brasília,445.76
2020-10-01,Brasília,490.48
2020-11-01,Brasília,572.64
2020-12-01,Brasília,591.82
2021-01-01,Brasília,614.31
2021-02-01,Brasília,591.44
2021-03-01,Brasília,580.76
2021-04-01,Brasília,587.33
2021-05-01,Brasília,588.24
2021-06-01,Brasília,584.99
2021-07-01,Brasília,582.35
2021-08-01,Brasília,594.59
2021-09-01,Brasília,617.65
2021-10-01,Brasília,644.09
2021-11-01,Brasília,631.95
2021-12-01,Brasília,621.56
2022-01-01,Brasília,661.09
2022-02-01,Brasília,670.98
2022-03-01,Brasília,704.65
2022-04-01,Brasília,741.55
2022-05-01,Brasília,696.34
2022-06-01,Brasília,698.36
2022-07-01,Brasília,703.93
2022-08-01,Brasília,689.31
2022-09-01,Brasília,687.21
2022-10-01,Brasília,699.09
2022-11-01,Brasília,712.2
2022-12-01,Brasília,728.78
2023-01-01,Brasília,729.73
2023-02-01,Brasília,719.74
2023-03-01,Brasília,693.32
2023-04-01,Brasília,717.09
2023-05-01,Brasília,703.43
2023-06-01,Brasília,687.33
2023-07-01,Brasília,687.58
2023-08-01,Brasília,689.98
2023-09-01,Brasília,662.2
2023-10-01,Brasília,647.76
2023-11-01,Brasília,667.58
2023-12-01,Brasília,698.74
2024-01-01,Brasília,742.52
2024-02-01,Brasília,741.91
2024-03-01,Brasília,747.68
2024-04-01,Brasília,727.95
2024-05-01,Brasília,737.37
2024-06-01,Brasília,738.93
2024-07-01,Brasília,694.31
2024-08-01,Brasília,673.14
2024-09-01,Brasília,682.51
2024-10-01,Brasília,711.05
2024-11-01,Brasília,742.25
2024-12-01,Brasília,743.19
2025-01-01,Brasília,756.03
2025-02-01,Brasília,772.3
2025-03-01,Brasília,782.65
2025-04-01,Brasília,775.84
