data,capital,cenario,custo_projetado,modelo
2026-04-01,Aracaju,Otimista,569.3,Cenario-Inflacao
2026-05-01,Aracaju,Otimista,569.14,Cenario-Inflacao
2026-06-01,Aracaju,Otimista,570.08,Cenario-Inflacao
2026-07-01,Aracaju,Otimista,559.87,Cenario-Inflacao
2026-08-01,Aracaju,Otimista,551.72,Cenario-Inflacao
2026-09-01,Aracaju,Otimista,549.28,Cenario-Inflacao
2026-10-01,Aracaju,Otimista,554.76,Cenario-Inflacao
2026-11-01,Aracaju,Otimista,558.21,Cenario-Inflacao
2026-12-01,Aracaju,Otimista,566.69,Cenario-Inflacao
2027-01-01,Aracaju,Otimista,561.98,Cenario-Inflacao
2027-02-01,Aracaju,Otimista,558.09,Cenario-Inflacao
2027-03-01,Aracaju,Otimista,569.36,Cenario-Inflacao
2027-04-01,Aracaju,Otimista,586.38,Cenario-Inflacao
2027-05-01,Aracaju,Otimista,586.21,Cenario-Inflacao
2027-06-01,Aracaju,Otimista,587.18,Cenario-Inflacao
2027-07-01,Aracaju,Otimista,576.66,Cenario-Inflacao
2027-08-01,Aracaju,Otimista,568.27,Cenario-Inflacao
2027-09-01,Aracaju,Otimista,565.76,Cenario-Inflacao
2027-10-01,Aracaju,Otimista,571.4,Cenario-Inflacao
2027-11-01,Aracaju,Otimista,574.95,Cenario-Inflacao
2027-12-01,Aracaju,Otimista,583.69,Cenario-Inflacao
2028-01-01,Aracaju,Otimista,578.84,Cenario-Inflacao
2028-02-01,Aracaju,Otimista,574.83,Cenario-Inflacao
2028-03-01,Aracaju,Otimista,586.44,Cenario-Inflacao
2028-04-01,Aracaju,Otimista,603.97,Cenario-Inflacao
2028-05-01,Aracaju,Otimista,603.8,Cenario-Inflacao
2028-06-01,Aracaju,Otimista,604.79,Cenario-Inflacao
2028-07-01,Aracaju,Otimista,593.96,Cenario-Inflacao
2028-08-01,Aracaju,Otimista,585.32,Cenario-Inflacao
2028-09-01,Aracaju,Otimista,582.73,Cenario-Inflacao
2028-10-01,Aracaju,Otimista,588.54,Cenario-Inflacao
2028-11-01,Aracaju,Otimista,592.2,Cenario-Inflacao
2028-12-01,Aracaju,Otimista,601.2,Cenario-Inflacao
2029-01-01,Aracaju,Otimista,596.21,Cenario-Inflacao
2029-02-01,Aracaju,Otimista,592.08,Cenario-Inflacao
2029-03-01,Aracaju,Otimista,604.03,Cenario-Inflacao
2029-04-01,Aracaju,Otimista,622.09,Cenario-Inflacao
2029-05-01,Aracaju,Otimista,621.91,Cenario-Inflacao
2029-06-01,Aracaju,Otimista,622.94,Cenario-Inflacao
2029-07-01,Aracaju,Otimista,611.78,Cenario-Inflacao
2029-08-01,Aracaju,Otimista,602.88,Cenario-Inflacao
2029-09-01,Aracaju,Otimista,600.22,Cenario-Inflacao
2029-10-01,Aracaju,Otimista,606.2,Cenario-Inflacao
2029-11-01,Aracaju,Otimista,609.97,Cenario-Inflacao
2029-12-01,Aracaju,Otimista,619.24,Cenario-Inflacao
2030-01-01,Aracaju,Otimista,614.1,Cenario-Inflacao
2030-02-01,Aracaju,Otimista,609.84,Cenario-Inflacao
2030-03-01,Aracaju,Otimista,622.15,Cenario-Inflacao
2030-04-01,Aracaju,Otimista,640.75,Cenario-Inflacao
2030-05-01,Aracaju,Otimista,640.57,Cenario-Inflacao
2030-06-01,Aracaju,Otimista,641.63,Cenario-Inflacao
2030-07-01,Aracaju,Otimista,630.13,Cenario-Inflacao
2030-08-01,Aracaju,Otimista,620.96,Cenario-Inflacao
2030-09-01,Aracaju,Otimista,618.22,Cenario-Inflacao
2030-10-01,Aracaju,Otimista,624.39,Cenario-Inflacao
2030-11-01,Aracaju,Otimista,628.27,Cenario-Inflacao
2030-12-01,Aracaju,Otimista,637.82,Cenario-Inflacao
2026-04-01,Aracaju,Moderado,569.99,Cenario-Inflacao
2026-05-01,Aracaju,Moderado,570.51,Cenario-Inflacao
2026-06-01,Aracaju,Moderado,572.14,Cenario-Inflacao
2026-07-01,Aracaju,Moderado,562.57,Cenario-Inflacao
2026-08-01,Aracaju,Moderado,555.05,Cenario-Inflacao
2026-09-01,Aracaju,Moderado,553.27,Cenario-Inflacao
2026-10-01,Aracaju,Moderado,559.46,Cenario-Inflacao
2026-11-01,Aracaju,Moderado,563.62,Cenario-Inflacao
2026-12-01,Aracaju,Moderado,572.87,Cenario-Inflacao
2027-01-01,Aracaju,Moderado,568.8,Cenario-Inflacao
2027-02-01,Aracaju,Moderado,565.54,Cenario-Inflacao
2027-03-01,Aracaju,Moderado,577.65,Cenario-Inflacao
2027-04-01,Aracaju,Moderado,595.64,Cenario-Inflacao
2027-05-01,Aracaju,Moderado,596.18,Cenario-Inflacao
2027-06-01,Aracaju,Moderado,597.89,Cenario-Inflacao
2027-07-01,Aracaju,Moderado,587.89,Cenario-Inflacao
2027-08-01,Aracaju,Moderado,580.03,Cenario-Inflacao
2027-09-01,Aracaju,Moderado,578.16,Cenario-Inflacao
2027-10-01,Aracaju,Moderado,584.63,Cenario-Inflacao
2027-11-01,Aracaju,Moderado,588.98,Cenario-Inflacao
2027-12-01,Aracaju,Moderado,598.65,Cenario-Inflacao
2028-01-01,Aracaju,Moderado,594.39,Cenario-Inflacao
2028-02-01,Aracaju,Moderado,590.98,Cenario-Inflacao
2028-03-01,Aracaju,Moderado,603.64,Cenario-Inflacao
2028-04-01,Aracaju,Moderado,622.44,Cenario-Inflacao
2028-05-01,Aracaju,Moderado,623.01,Cenario-Inflacao
2028-06-01,Aracaju,Moderado,624.79,Cenario-Inflacao
2028-07-01,Aracaju,Moderado,614.34,Cenario-Inflacao
2028-08-01,Aracaju,Moderado,606.13,Cenario-Inflacao
2028-09-01,Aracaju,Moderado,604.18,Cenario-Inflacao
2028-10-01,Aracaju,Moderado,610.94,Cenario-Inflacao
2028-11-01,Aracaju,Moderado,615.48,Cenario-Inflacao
2028-12-01,Aracaju,Moderado,625.59,Cenario-Inflacao
2029-01-01,Aracaju,Moderado,621.14,Cenario-Inflacao
2029-02-01,Aracaju,Moderado,617.58,Cenario-Inflacao
2029-03-01,Aracaju,Moderado,630.8,Cenario-Inflacao
2029-04-01,Aracaju,Moderado,650.45,Cenario-Inflacao
2029-05-01,Aracaju,Moderado,651.05,Cenario-Inflacao
2029-06-01,Aracaju,Moderado,652.91,Cenario-Inflacao
2029-07-01,Aracaju,Moderado,641.99,Cenario-Inflacao
2029-08-01,Aracaju,Moderado,633.41,Cenario-Inflacao
2029-09-01,Aracaju,Moderado,631.37,Cenario-Inflacao
2029-10-01,Aracaju,Moderado,638.43,Cenario-Inflacao
2029-11-01,Aracaju,Moderado,643.18,Cenario-Inflacao
2029-12-01,Aracaju,Moderado,653.74,Cenario-Inflacao
2030-01-01,Aracaju,Moderado,649.09,Cenario-Inflacao
2030-02-01,Aracaju,Moderado,645.37,Cenario-Inflacao
2030-03-01,Aracaju,Moderado,659.19,Cenario-Inflacao
2030-04-01,Aracaju,Moderado,679.72,Cenario-Inflacao
2030-05-01,Aracaju,Moderado,680.35,Cenario-Inflacao
2030-06-01,Aracaju,Moderado,682.29,Cenario-Inflacao
2030-07-01,Aracaju,Moderado,670.88,Cenario-Inflacao
2030-08-01,Aracaju,Moderado,661.91,Cenario-Inflacao
2030-09-01,Aracaju,Moderado,659.78,Cenario-Inflacao
2030-10-01,Aracaju,Moderado,667.16,Cenario-Inflacao
2030-11-01,Aracaju,Moderado,672.12,Cenario-Inflacao
2030-12-01,Aracaju,Moderado,683.16,Cenario-Inflacao
2026-04-01,Aracaju,Conservador,570.67,Cenario-Inflacao
2026-05-01,Aracaju,Conservador,571.87,Cenario-Inflacao
2026-06-01,Aracaju,Conservador,574.18,Cenario-Inflacao
2026-07-01,Aracaju,Conservador,565.25,Cenario-Inflacao
2026-08-01,Aracaju,Conservador,558.36,Cenario-Inflacao
2026-09-01,Aracaju,Conservador,557.22,Cenario-Inflacao
2026-10-01,Aracaju,Conservador,564.13,Cenario-Inflacao
2026-11-01,Aracaju,Conservador,569.0,Cenario-Inflacao
